"id","type","name","province_id","latitude","longitude","created_at","updated_at","deleted_at"
"126","Kabupaten","Garut","9","-7.38333","107.76667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"127","Kabupaten","Gayo Lues","21","3.95","97.39","2021-10-20 15:19:47","2021-11-26 14:43:03",NULL
"128","Kabupaten","Gianyar","1","-8.46667","115.28333","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"129","Kabupaten","Gorontalo","7","0.5728","122.2337","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"130","Kota","Gorontalo","7","0.53333","123.1","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"131","Kabupaten","Gorontalo Utara","7","0.77","122.31667","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"132","Kabupaten","Gowa","28","-5.31667","119.75","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"133","Kabupaten","Gresik","11","-7.1933","112.553","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"134","Kabupaten","Grobogan","10","-7.11667","110.91667","2021-10-20 15:19:47","2021-11-26 14:43:07",NULL
"135","Kabupaten","Gunung Kidul","5","-7.98333","110.61667","2021-10-20 15:19:47","2021-11-26 14:43:08",NULL
"136","Kabupaten","Gunung Mas","14","-0.95","113.5","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"137","Kota","Gunungsitoli","34","1.32731","97.55018","2021-10-20 15:19:47","2021-11-26 14:43:05",NULL
"138","Kabupaten","Halmahera Barat","20","1.41709","127.55264","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"139","Kabupaten","Halmahera Selatan","20","-0.3955","127.90833","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"140","Kabupaten","Halmahera Tengah","20","0.48056","128.25","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"141","Kabupaten","Halmahera Timur","20","1.33517","128.48627","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"142","Kabupaten","Halmahera Utara","20","1.73194","128.00778","2021-10-20 15:19:47","2021-11-26 14:43:10",NULL
"143","Kabupaten","Hulu Sungai Selatan","13","-2.75","115.2","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"144","Kabupaten","Hulu Sungai Tengah","13","-2.61667","115.41667","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"145","Kabupaten","Hulu Sungai Utara","13","-2.45","115.13333","2021-10-20 15:19:47","2021-11-26 14:43:09",NULL
"146","Kabupaten","Humbang Hasundutan","34","2.26551","98.50376","2021-10-20 15:19:47","2021-11-26 14:43:04",NULL
"147","Kabupaten","Indragiri Hilir","26","-0.33333","103.16667","2021-10-20 15:19:47","2021-11-26 14:43:05",NULL
"148","Kabupaten","Indragiri Hulu","26","-0.55","102.31667","2021-10-20 15:19:47","2021-11-26 14:43:05",NULL
